,id,text,created_at,favorite_count,retweet_count
33,783133579719106561,"A person who implies that veterans suffering from PTS are not ""strong"" is unfit to be Commander-in-Chief. Period. https://t.co/Z0WFGWLwqe",Tue Oct 04 02:36:09 +0000 2016,8769.0,3902.0
34,783127024663683072,"""She is far and away the choice for the presidency of the United States in 2016."" —@NYDailyNews https://t.co/ocAedXTix2",Tue Oct 04 02:10:07 +0000 2016,5086.0,1773.0
35,783109774753792002,"""A lot of people can’t handle it."" —Trump on veterans with post-traumatic stress https://t.co/f05ggyEnb7",Tue Oct 04 01:01:34 +0000 2016,20976.0,13429.0
36,783091843613458432,"""Hillary has always been a champion for children and their futures."" —@KingJames https://t.co/PcBChoxpf9",Mon Oct 03 23:50:19 +0000 2016,6793.0,2318.0
37,783081195282333696,Trump’s campaign is bragging that not paying taxes makes him a “genius.” https://t.co/7enA0znwzh,Mon Oct 03 23:08:00 +0000 2016,9995.0,4292.0
38,783068877165125638,"""We both believe every child should have the chance to live up to his or her God-given potential” —Hillary on LeBron https://t.co/PcBChoxpf9",Mon Oct 03 22:19:03 +0000 2016,3523.0,1192.0
39,783067696099385345,"Hillary’s speaking live in Akron, Ohio. Tune in now: https://t.co/oa4NZ1hEHU",Mon Oct 03 22:14:22 +0000 2016,2505.0,603.0
40,783056972866318336,"RT @TheBriefing2016: If you pay your taxes, what does this mean Donald Trump thinks of you? https://t.co/1BmmT8SEMI",Mon Oct 03 21:31:45 +0000 2016,0.0,1193.0
41,783050338492379136,"It’s Filipino American History Month, so lets honor their many contributions—from serving in WWII to strengthening our labor movement. -H",Mon Oct 03 21:05:23 +0000 2016,12773.0,5042.0
42,783047762824790017,Veterans who experience PTS are stronger than we'll ever understand. We owe them nothing short of world-class care: https://t.co/skZijed0k3,Mon Oct 03 20:55:09 +0000 2016,6702.0,2794.0
43,783037603201347584,RT @lorellapraeli: Got to share my story &amp; talk about why our voice is our vote on @TheRivetersPod. Register: https://t.co/TLKzt5ylEr. http…,Mon Oct 03 20:14:47 +0000 2016,0.0,159.0
44,783035155334172673,RT @timkaine: My dad Al owned a union ironworking shop in Kansas City. That's where I learned about respecting hard work and hardworking pe…,Mon Oct 03 20:05:03 +0000 2016,0.0,3299.0
45,783026646362324992,RT @KingJames: Was at practice all morning so little late but wanted to share... https://t.co/1nrR0eWKBD,Mon Oct 03 19:31:15 +0000 2016,0.0,1800.0
46,783022621894053888,"Trump's child care ""plan"" is really just a tax cut for the wealthy—while giving working families almost nothing. https://t.co/anjgFfdySG",Mon Oct 03 19:15:15 +0000 2016,3429.0,1698.0
47,783015073308704772,https://t.co/H2MOa4W86W https://t.co/8ovRZly1r6,Mon Oct 03 18:45:15 +0000 2016,2549.0,1297.0
48,783005170972102658,No one should have to choose between paying the rent and filling their prescriptions. https://t.co/xaLokyZggT,Mon Oct 03 18:05:54 +0000 2016,2258.0,799.0
49,783003950689705984,A Wall Street money manager should not be able to pay a lower tax rate than a teacher or a nurse.,Mon Oct 03 18:01:04 +0000 2016,3498.0,1162.0
50,783003658241863680,"RT @HFA: ""Not a single CEO of a Fortune 100 company supports Trump’s campaign."" —@HillaryClinton",Mon Oct 03 17:59:54 +0000 2016,0.0,899.0
51,783002697431736320,"Trump's campaign is bragging that not paying taxes makes him a ""genius.""

What kind of genius loses $1 billion in a single year?",Mon Oct 03 17:56:05 +0000 2016,4214.0,2002.0
52,783001736248172544,"RT @HFA: ""Trump’s plan would cut his own taxes even more…his plan would actually raise taxes for millions of middle-class families."" —Hilla…",Mon Oct 03 17:52:16 +0000 2016,0.0,662.0
53,783001352867868672,"For years, Trump has been taking from American taxpayers with both hands and giving nothing back. https://t.co/Xbu9LkD89T",Mon Oct 03 17:50:44 +0000 2016,1632.0,771.0
54,783000974973624321,“It doesn’t look like he paid a dime of federal income tax for almost two decades.” —Hillary on Trump,Mon Oct 03 17:49:14 +0000 2016,4397.0,1307.0
55,783000121323692033,"RT @HFA: “When the middle class thrives and our country is strong, businesses thrive too. And when it doesn’t, we don’t.” —@HillaryClinton",Mon Oct 03 17:45:51 +0000 2016,0.0,439.0
56,782999359889768448,Corporations that benefit from all that America has to offer should feel a sense of responsibility toward shareholders AND workers.,Mon Oct 03 17:42:49 +0000 2016,2156.0,693.0
57,782998227436134400,Honest work deserves honest pay. Everyone should have the right to join a strong union that will always have your back.,Mon Oct 03 17:38:19 +0000 2016,1993.0,683.0
58,782997583769763840,Live from Toledo: Watch Hillary speak on her plan to make the economy work for everyone—not just those at the top. https://t.co/oa4NZ1hEHU,Mon Oct 03 17:35:46 +0000 2016,3059.0,915.0
59,782984294557941760,Millions of Americans work hard and pay their taxes. So why doesn't Donald Trump pay his? https://t.co/WLSzIz0ewG,Mon Oct 03 16:42:57 +0000 2016,8642.0,4092.0
60,782979162793451521,"RT @BuzzFeedNews: Trump suggests that soldiers who suffer from PTSD aren't ""strong"" https://t.co/YCWn1Xo6bM https://t.co/7bkEIJ5F4q",Mon Oct 03 16:22:34 +0000 2016,0.0,1993.0
61,782977099950911488,"""I knew then that she was destined for great things."" An interview with Hillary's lifelong friend, Betsy Ebeling: https://t.co/G8pBAguuha",Mon Oct 03 16:14:22 +0000 2016,2706.0,784.0
62,782959460797059072,"In one week, Trump has:
✓Lost a debate
✓Attacked a woman at 5 am on Twitter
✓Had his net worth downgraded
and more: https://t.co/HAA0yI9JLl",Mon Oct 03 15:04:16 +0000 2016,8580.0,3620.0
63,782943364455002112,"RT @repjohnlewis: Happy Monday, my friends. Are you registered to vote? The right to vote is precious, almost sacred, and we must use it. #…",Mon Oct 03 14:00:19 +0000 2016,0.0,3820.0
64,782938924436033536,"""Hillary is running on the message of hope and unity that we need."" —@KingJames https://t.co/PcBChoxpf9",Mon Oct 03 13:42:40 +0000 2016,9485.0,3423.0
65,782910994263584768,"Can a man who lost $1 billion in one year, stiffed small businesses, and may have paid no taxes really claim he's ""… https://t.co/4CdMilhPvP",Mon Oct 03 11:51:41 +0000 2016,20575.0,11094.0
66,782784990924902400,"RT @Hillary_esp: Según @NYTimes,Trump pudo haber contribuido menos para el ejército y las universidades que los inmigrantes indocumentados…",Mon Oct 03 03:30:59 +0000 2016,0.0,1031.0
67,782779577240256512,"According to @NYTimes, Trump may contribute less to our military and college students than the undocumented immigrants he wants to deport.",Mon Oct 03 03:09:29 +0000 2016,23691.0,11783.0
68,782770554252234752,"Newspapers that have endorsed @realDonaldTrump:
1. ...
2. ...
3. (Uh, the National Enquirer?) https://t.co/WWNMSZGeFa",Mon Oct 03 02:33:37 +0000 2016,8336.0,3207.0
69,782763010980999168,"""Let's register to vote, show up to the polls, and vote for Hillary Clinton."" —@KingJames: https://t.co/tTgeqxNqYm https://t.co/PcBChoxpf9",Mon Oct 03 02:03:39 +0000 2016,14967.0,5948.0
70,782756130158108672,Three pages of Trump's tax returns confirm he's a business failure who's gotten rich at your expense. Imagine what… https://t.co/w0O6ozZIF6,Mon Oct 03 01:36:18 +0000 2016,27228.0,15298.0
71,782740251655696384,Donald Trump might have gone decades without paying taxes—but he’s not afraid of telling other people to pay theirs. https://t.co/O2FeLvNJGm,Mon Oct 03 00:33:13 +0000 2016,6326.0,2834.0
72,782733950875828224,RT @businessinsider: [Exclusive] — @KingJames: Why I'm endorsing @HillaryClinton for president https://t.co/WLMcbeOxs0 https://t.co/cLQG3Yp…,Mon Oct 03 00:08:11 +0000 2016,0.0,4075.0
73,782733436276486144,"""If she gets to be president, she won’t waste a day."" —@BillClinton, now playing on With Her at… https://t.co/NbISBj7L4b",Mon Oct 03 00:06:08 +0000 2016,4837.0,1304.0
74,782726630473101313,Donald Trump built numerous squandered businesses on the backs of taxpayers—and he hasn't even paid his fair share. https://t.co/z0VopqoiCy,Sun Oct 02 23:39:05 +0000 2016,5646.0,2562.0
75,782716877231521793,Real change happens when Americans come together to work toward a common goal—we'll make it easier to do that. https://t.co/PIbFMWHFSS,Sun Oct 02 23:00:20 +0000 2016,4114.0,1363.0
76,782712005719384064,L'Shana Tovah to everyone celebrating Rosh Hashanah! May the coming year be filled with sweetness and joy. -H,Sun Oct 02 22:40:58 +0000 2016,13884.0,3722.0
77,782682960269115394,“It would be reckless not to consider the damage Mr. Trump might wreak.”—@WashingtonPost: https://t.co/drPNG1ucBX,Sun Oct 02 20:45:33 +0000 2016,6201.0,2931.0
78,782672358112948225,"Reminder: While Trump probably pays no federal taxes, he wants a $4 billion tax break for his own family.… https://t.co/Ps2JFgKk0k",Sun Oct 02 20:03:26 +0000 2016,8771.0,5624.0
79,782653906513981444,Now that's pretty rich coming from a guy who paid $0 in taxes for 18 years: https://t.co/N6iaVvbYJQ https://t.co/fc5imqnAi5,Sun Oct 02 18:50:06 +0000 2016,12508.0,6324.0
80,782639898549510144,"Try our new tool! See how much you'd pay in federal income taxes if you paid the same as ""billionaire"" Donald Trump: https://t.co/CD0yzPDqhw",Sun Oct 02 17:54:27 +0000 2016,7761.0,4410.0
81,782592842921287681,.@TimKaine's favorite records—and 13 other things you should know about America's next vice president: https://t.co/re60pwBfxc,Sun Oct 02 14:47:28 +0000 2016,6307.0,2623.0
82,782574193871380480,"""We truly are stronger together — and together, we’re going to make history.""

A note from Hillary: https://t.co/fPXxghe5dA",Sun Oct 02 13:33:22 +0000 2016,6830.0,2064.0
83,782427018176716804,"Trump ""apparently got to avoid paying taxes for nearly two decades—while tens of millions of working families paid… https://t.co/s6KgRcoICM",Sun Oct 02 03:48:32 +0000 2016,24121.0,13226.0
84,782400570497925120,They're voting. Are you? Make sure you're registered: https://t.co/tTgeqxNqYm https://t.co/76koKQOTno,Sun Oct 02 02:03:26 +0000 2016,6012.0,1802.0
85,782395140782624773,RT @nytimes: Exclusive: NYT has obtained parts of Trump's 1995 tax records. He could have paid no federal income tax for 18 years https://t…,Sun Oct 02 01:41:52 +0000 2016,0.0,16682.0
86,782390134759157760,RT @ZekeJMiller: Trump Tax Records Obtained by The Times Reveal He Could Have Avoided Paying Taxes for Nearly Two Decades https://t.co/2Pt8…,Sun Oct 02 01:21:58 +0000 2016,0.0,2105.0
87,782385740353183745,"“She’s just out there every day doing God’s work in her own way. You know? Making her parents proud.” —Betsy, Hilla… https://t.co/ZB3Vxskqoh",Sun Oct 02 01:04:31 +0000 2016,9044.0,2751.0
88,782359247984222209,We're going to make college debt-free for everyone in America. See how much you could save with Hillary's plan at… https://t.co/Fhzkubhpj7,Sat Oct 01 23:19:14 +0000 2016,6354.0,2307.0
89,782340638297567232,Don't boo. Vote! https://t.co/tTgeqy51PU https://t.co/9un3FUVxoG,Sat Oct 01 22:05:18 +0000 2016,11584.0,4723.0
90,782322931363971072,This Republican dad is struggling with the idea of his daughter growing up in a country led by Donald Trump. https://t.co/Tn3rQqJJKp,Sat Oct 01 20:54:56 +0000 2016,6144.0,2538.0
91,782309056358866945,Hillary teamed up with @BernieSanders on a plan to make college debt-free for all Americans. https://t.co/sdWVzdxIrG,Sat Oct 01 19:59:48 +0000 2016,6070.0,2346.0
92,782307260412338176,RT @mayaharris_: Encouraging to see AT&amp;T CEO Randall Stephenson's strong statement on race and justice. https://t.co/xkeJ4m72gW,Sat Oct 01 19:52:40 +0000 2016,0.0,1048.0
93,782271712008298498,"""It was overwhelming, in every sense of that word."" —Betsy, Hillary's oldest friend, on casting the Illinois delega… https://t.co/QA3ZxSpi4n",Sat Oct 01 17:31:24 +0000 2016,9213.0,2769.0
94,782261041589784577,Great step forward by the Obama administration. It’s past time for Congress to guarantee paid sick leave for everyo… https://t.co/kYSmvVsfsY,Sat Oct 01 16:49:00 +0000 2016,8411.0,2714.0
95,782250725229285376,"""I feel like I'm the political equivalent of the Antiques Roadshow."" —@BillClinton, now playing on With Her at… https://t.co/pSz8uuh693",Sat Oct 01 16:08:01 +0000 2016,3691.0,1017.0
96,782218585653534720,Nobody here was “having fun” except for Trump. https://t.co/uklRuFJaus,Sat Oct 01 14:00:18 +0000 2016,20230.0,11405.0
97,782120595005800448,"For those few people knocking public service, hope you'll reconsider answering the call to help others. Because we're stronger together.",Sat Oct 01 07:30:55 +0000 2016,8033.0,2290.0
98,782119959820439552,"Remember, don't believe the haters who describe America as hopeless and broken. We should lift each other up, not tear each other down.",Sat Oct 01 07:28:24 +0000 2016,11189.0,4001.0
99,782119222038163456,Too many talented young people pass up on programs like @Peacecorps because of student loans. Let's use GOOD JUDGMENT &amp; lighten that burden.,Sat Oct 01 07:25:28 +0000 2016,5232.0,1859.0
101,782118644390195200,"There are hundreds of thousands more @AmeriCorps applications than spots. Horrible! Let's expand it from 75,000 annual members to 250,000.",Sat Oct 01 07:23:10 +0000 2016,4386.0,1678.0
102,782117968117428224,It's 3:20am. As good a time as any to tweet about national service. https://t.co/6hRCC16UiV,Sat Oct 01 07:20:29 +0000 2016,31559.0,10936.0
103,782054442845679616,"Trump stood on a debate stage and lied to millions of Americans.

Chip in to make sure he never becomes president:… https://t.co/UVma8uxsIY",Sat Oct 01 03:08:03 +0000 2016,14082.0,8025.0
104,782045996532559872,"Donald Trump said he has ""great respect"" for women. His actions and words say otherwise. https://t.co/DV0KszUZxM",Sat Oct 01 02:34:29 +0000 2016,5770.0,2268.0
105,782042999991705600,RT @timkaine: 39 days. https://t.co/B21QKpeiSj https://t.co/8HVscitM0w,Sat Oct 01 02:22:35 +0000 2016,0.0,1616.0
106,782028346637029376,"Trump wants to bring NYC's old, unconstitutional stop-and-frisk policy—aka racial profiling—to a city near you. https://t.co/XWHj5xRSiH",Sat Oct 01 01:24:21 +0000 2016,4661.0,2493.0
107,782015114119680000,RT @mayaharris_: We must ensure access to safe and legal abortion for all women—not just in principle but in practice. #BeBoldEndHyde https…,Sat Oct 01 00:31:47 +0000 2016,0.0,938.0
