,id,text,created_at,favorite_count,retweet_count
0,783436108176629760,"Thank you ARIZONA! This is a MOVEMENT like nobody has ever seen before. Together, we are going to MAKE AMERICA SAFE… https://t.co/EwP4hnaeoE",Tue Oct 04 22:38:18 +0000 2016,4229.0,1729.0
1,783393314309484544,"My childcare plan makes a difference for working families - more money, more freedom. #AmericaFirst means… https://t.co/X3Yn3FZphf",Tue Oct 04 19:48:15 +0000 2016,11110.0,4719.0
2,783391423663964160,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,Tue Oct 04 19:40:44 +0000 2016,14211.0,4809.0
3,783390310969651200,"Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGA
Tickets: https://t.co/DJ7JJUkkz7",Tue Oct 04 19:36:19 +0000 2016,5743.0,2053.0
4,783149570721144832,"Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGA
Tickets:… https://t.co/G0NvFLQWgS",Tue Oct 04 03:39:42 +0000 2016,13895.0,6189.0
5,783129603363659776,"Thank you Colorado! #MAGA
https://t.co/3KWOl20zMm
https://t.co/M7QhdCgRzw https://t.co/wIGNtKPA2X",Tue Oct 04 02:20:21 +0000 2016,20271.0,8390.0
6,783065029172088832,We must bring the truth directly to hard-working Americans who want to take our country back. #BigLeagueTruth… https://t.co/0iAeiPYEhO,Mon Oct 03 22:03:46 +0000 2016,22735.0,10633.0
7,783059449128759296,"Thank you Pueblo, Colorado! 
#TrumpRally #AmericaFirst
https://t.co/3KWOl20zMm https://t.co/rFAf7xYNhy",Mon Oct 03 21:41:35 +0000 2016,15042.0,6178.0
8,782946021957599232,"Join me in Henderson, Nevada on Wednesday at 11:30am! #MAGA 
Tickets: https://t.co/pWTYv9BbUE",Mon Oct 03 14:10:52 +0000 2016,14300.0,5837.0
9,782728287718150144,Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,Sun Oct 02 23:45:40 +0000 2016,37654.0,13857.0
10,782701472685420544,"Melania and I extend our warmest greetings to those observing Rosh Hashanah here in the United States, in Israel, and around the world.",Sun Oct 02 21:59:07 +0000 2016,38573.0,12016.0
11,782698760514207744,Bernie should pull his endorsement of Crooked Hillary after she decieved him and then attacked him and his supporters.,Sun Oct 02 21:48:21 +0000 2016,44082.0,16574.0
12,782553353242841088,"""@trumplican2016: .@realDonaldTrump  There will be MASSIVE turnout for you,  Mr. Trump - These polls don't register the pulse of the PEOPLE!",Sun Oct 02 12:10:33 +0000 2016,27949.0,10243.0
13,782544407593619457,I have created tens of thousands of jobs and will bring back great American prosperity. Hillary has only created jobs at the FBI and DOJ!,Sun Oct 02 11:35:00 +0000 2016,50710.0,19214.0
14,782541307168391168,I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,Sun Oct 02 11:22:41 +0000 2016,41434.0,15512.0
15,782331741369462784,Heading to Pennsylvania for a big rally tonight. We will MAKE AMERICA GREAT AGAIN!,Sat Oct 01 21:29:56 +0000 2016,30971.0,9011.0
16,782330717539803136,"Wow, just saw the really bad @CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.",Sat Oct 01 21:25:52 +0000 2016,31756.0,10868.0
17,782321125984436224,The so-called Commission on Presidential Debates admitted to us that the DJT audio &amp; sound level was very bad. So why didn't they fix it?,Sat Oct 01 20:47:45 +0000 2016,29096.0,10563.0
18,782313153308884992,"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone.",Sat Oct 01 20:16:05 +0000 2016,36497.0,10725.0
19,782264189574377472,"Crooked H is nasty to Sanders supporters behind closed doors. Owned by Wall St and Politicians, HRC is not with you. https://t.co/WN1lyCDXla",Sat Oct 01 17:01:31 +0000 2016,31412.0,16490.0
